,zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
120,92134,San Diego,San Diego,1409573,2,San Diego,466012,91413,118823,24186,0.1499,46902,67119,2111,1787,285,1584.0,22.5,0.061,0.2023,0.07336,0.05734,15363,728818
121,92618,Orange,Irvine,273157,14,Irvine,54817017,107353,135579,54103,0.188,18008,50699,2290,3610,48997,2316.0,33.9,0.387,0.289,0.07104,0.04398,20640,839500
122,90731,Los Angeles,Los Angeles,3966936,1,Long Beach; Los Angeles,23721000,53456,79645,31212,0.068,39213,41550,5246,1550,60659,6624.0,36.9,0.156,0.07104,0.143,0.072,24573,590700
123,91331,Los Angeles,Los Angeles,3966936,1,Los Angeles,22928479,63807,79356,19534,0.043,35606,51233,4166,1010,105458,11910.0,33.3,0.08795,0.02199,0.1421,0.059,24170,425300
124,91335,Los Angeles,Los Angeles,3966936,1,Los Angeles,17002129,63748,83683,26668,0.06,40563,43607,4447,1467,81824,12460.0,37.1,0.178,0.075,0.105,0.05603,25234,496700
125,91340,Los Angeles,Los Angeles,3966936,1,Los Angeles; San Fernando,8757194,57398,74010,19777,0.04,30333,36542,1755,355,36156,10696.0,33.8,0.08704,0.02301,0.12,0.043,9383,431100
126,91364,Los Angeles,Los Angeles,3966936,1,Los Angeles; Topanga,19665919,106225,148145,58037,0.231,41391,77311,1145,2462,27971,3684.0,43.6,0.3281,0.21,0.035,0.059,11564,849100
127,91367,Los Angeles,Los Angeles,3966936,1,Los Angeles,19245424,96085,128000,52651,0.17,31429,64464,2407,3142,45970,6188.0,40.2,0.3418,0.2,0.055,0.063,19649,697600
128,91390,Los Angeles,Palmdale,156293,34,Acton; Agua Dulce; Green Valley; Leona Valley; Palmdale; Santa Clarita,370679169,120617,140359,44841,0.2241,47690,68989,512,1341,19168,133.9,41.7,0.2559,0.106,0.025,0.045,6377,593600
129,91390,Los Angeles,Santa Clarita,213411,18,Acton; Agua Dulce; Green Valley; Leona Valley; Palmdale; Santa Clarita,370679169,120617,140359,44841,0.2241,56441,68989,512,1341,19168,133.9,41.7,0.2559,0.106,0.025,0.045,6377,593600
130,91608,Los Angeles,Los Angeles,3966936,1,Los Angeles,1549248,73458,105756,43250,0.0,41391,52628,2812,1360,21,35.1,37.4,0.2499,0.4758,0.1265,0.06683,10,769723
