"zip","rank","rankOf","rankStars","rankStatewidePercentage","averageStandardScore","has_elementary","has_middle","has_high"
"92532","1701.66667","4667.33333","3.16667","64.44667","60.00756","1","1","1"
"92543","3373","3887.22222","0.88889","18.23556","22.38529","1","1","1"
"92544","3243.42857","4305.28571","1.42857","30.69857","29.9928","1","1","1"
"92545","2638.66667","4058","1.66667","32.50167","30.28164","1","1","1"
"92551","2321","4106.5","2.5","44.22","41.25445","1","1","1"
"92553","3893.125","4947.75","1","19.6825","21.36925","1","1","1"
"92555","2828.71429","4388.42857","1.85714","34.65143","33.06901","1","1","1"
"92557","3377.125","4947.75","1.625","32.84875","32.56911","1","1","1"
"92562","1195.5","5179.66667","3.66667","77.53667","75.83128","1","0","1"
"92563","1113.44444","5105.88889","4","78.85889","77.52894","1","1","0"
"92567","2319.5","4106.5","2.5","46.3625","42.26735","1","1","1"
"92570","3510.625","4875","1.625","33.05875","32.4212","1","0","1"
"92571","2782.3","4750.4","2","40.187","38.31358","1","1","1"
"92582","3057","4570.33333","1.66667","29.45","26.83651","1","0","1"
"92583","2926.125","4179.25","1.625","32.725","32.31396","1","1","1"
"92584","1950.5","4563.5","3","60.6425","56.61836","1","1","1"
"92586","1645.33333","4764.33333","3.33333","64.02333","59.20026","1","1","0"
"92587","2704","5789","3","53.29","47.96155","1","0","0"
"92591","1106.71429","4388.42857","3.85714","76.32286","74.25923","1","1","1"
"92592","678","4667.33333","4.33333","86.73167","86.95802","1","1","1"
"92595","2240.75","4106.5","2.25","43.245","39.15404","1","1","1"
"92603","380","5789","4.75","93.4375","93.72346","1","0","0"
"92612","430","3545.66667","4.66667","91.05333","90.79076","1","1","1"
"92624","1824","5789","3","68.49","65.35955","1","0","0"
"92626","1576.66667","4058","3","64.04333","61.45422","1","1","1"
"92627","1908","3595.4","2","41.388","40.76681","1","0","1"
"92629","1886.5","3961","3","63.975","61.14305","1","0","1"
"92630","1742","5179.66667","3.5","68.995","67.44032","1","0","1"
"92646","572.625","4947.75","4.5","89.145","89.02419","1","1","1"
"92647","1211.83333","4667.33333","3.5","71.97","69.58123","1","1","1"
"92648","364.6","4443","4.4","91.68","91.63835","1","1","1"
"92649","716.75","4106.5","4","83.58","82.60889","1","1","1"
"92651","117.75","4106.5","5","96.88","96.59521","1","1","1"
"92653","1460","4875","3.5","72.465","70.20802","1","0","1"
"92656","838.25","4563.5","4.25","84.07125","83.2299","1","1","1"
"92660","203.5","4875","5","95.93","95.79054","1","0","1"
"92661","374","5789","5","93.54","93.9437","1","0","0"
"92672","1287.8","5174.2","3.6","76.07","74.14052","1","1","0"
"92673","718.66667","4155","4.16667","84.61","83.44473","1","1","1"
"92675","1895.33333","4570.33333","3.33333","64.26","60.01722","1","0","1"
"92677","990","5789","4","82.89833","83.06743","1","0","0"
"92679","740.66667","5789","4.33333","87.20667","88.01684","1","0","0"
"92683","1502.16667","4667.33333","3.33333","69.84167","66.66718","1","1","1"
"92688","830.83333","4764.33333","4.16667","84.68833","84.30951","1","1","0"
"92691","1262.5","5789","3.83333","78.19167","76.94511","1","0","1"
"92692","615","4388.42857","4.28571","86.70571","86.13614","1","1","1"
"92701","2465.33333","4635","2.44444","50.62","48.37314","1","1","1"
"92703","4412","5789","1.14286","23.78571","26.86055","1","0","1"
"92704","4048.28571","5349.85714","1.28571","23.49429","24.06956","1","1","0"
"92705","1557.5","3351.66667","2.66667","53.41833","51.60131","1","0","1"
"92706","2252.75","4106.5","2.625","49.3125","46.96016","1","1","1"
"92707","3175.5","4106.5","1.125","22.6675","23.33129","1","1","1"
"92708","345","4667.33333","4.66667","93.585","93.48927","1","1","1"
"92780","2732.75","4179.25","1.75","35.78875","33.79871","1","1","1"
"92801","3087.25","5404.75","2","41.85","40.2862","1","1","0"
"92802","3768","5276.66667","1.5","27.17833","27.34593","1","1","0"
"92804","2457","4827.57143","2.14286","43.59","40.34489","1","1","1"
"92805","3842.66667","5179.66667","1.5","27.545","28.3689","1","0","1"
"92806","3188","4443","1.6","29.306","28.89071","1","1","1"
"92807","706.8","4326.6","4.4","85.204","83.47752","1","0","1"
"92808","531","4764.33333","4","88.90333","89.42605","1","1","0"
"92821","1012.875","4490.75","3.625","73.11125","73.41797","1","1","1"
"92831","2177.14286","4305.28571","2.28571","44.04429","42.1151","1","1","1"
"92832","2707","5057.8","2.6","49.692","47.29282","1","0","1"
"92833","1791.625","4563.5","3","62.29375","61.23376","1","1","1"
"92835","893.5","5789","4.5","84.565","83.32639","1","0","0"
"92840","1610.88889","4699.66667","3.44444","67.36556","64.03501","1","1","1"
"92841","1974.44444","4635","2.88889","56.69889","53.12095","1","1","1"
