property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O1008384445,single_family,1989.0,False,4.0,3,,3,1635000,6700,2804,5295 Canyon Crest Dr,['Dougherty Hills'],San Ramon,Contra Costa,CA,94582
O2731982924,single_family,1978.0,False,4.0,2,1.0,2,1570000,6935,2092,518 Marlboro Ct,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2407396566,condo,1975.0,False,4.0,2,1.0,2,1000000,5000,1731,2793 Dos Rios Dr,['Twin Creeks'],San Ramon,Contra Costa,CA,94583
O1874429571,condo,1988.0,False,2.0,2,,None,570000,None,949,255 Reflections Dr Apt 26,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2782552808,single_family,1979.0,False,3.0,3,,None,1300000,12204,3176,350 Cameron Cir,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2057298841,condo,1989.0,False,2.0,2,,None,607500,None,914,490 Bollinger Canyon Ln Apt 271,"['Dougherty Hills', 'Canyon Lakes']",San Ramon,Contra Costa,CA,94582
O1262995022,condo,2015.0,False,3.0,2,1.0,2,935000,None,1961,5031 Barrenstar Way,"['Dougherty Valley', 'Gale Ranch']",San Ramon,Contra Costa,CA,94582
O1212934939,None,,False,,None,,None,1601500,5214,0,1028 Via Veneto,None,San Ramon,Contra Costa,CA,94583
O2771373025,single_family,1986.0,False,4.0,2,1.0,2,1575000,10902,2788,147 Sussex Ct,['Southern San Ramon'],San Ramon,Contra Costa,CA,94582
O2819259762,single_family,1986.0,False,4.0,3,,3,1650000,7906,2401,79 Rainbow Bridge Pl,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O2308330818,condo,2015.0,False,3.0,2,,None,675000,None,1015,4724 Norris Canyon Rd Unit 204,['Crow Canyon'],San Ramon,Contra Costa,CA,94583
O2833197224,condo,1988.0,False,1.0,1,,None,440000,730,730,337 Eastridge Dr,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O1453129165,single_family,2006.0,False,4.0,3,,2,1535000,4345,2655,3638 Montrose Way,"['Dougherty Valley', 'Windemere']",San Ramon,Contra Costa,CA,94582
O2556646665,single_family,1971.0,False,3.0,2,,2,1090000,7700,1309,3023 Pine Valley Rd,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O1661089235,single_family,2005.0,False,5.0,4,,2,1580000,5322,2850,2829 Willow Bend Way,"['Dougherty Valley', 'Gale Ranch']",San Ramon,Contra Costa,CA,94582
O2727958202,single_family,1978.0,False,2.0,2,,2,1080000,3900,1415,10037 Foxboro Cir,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2780689511,condo,1986.0,False,2.0,2,,1,645000,None,1042,620 Canyon Woods Ct Apt A,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O1858330684,condo,1988.0,False,2.0,1,,None,480000,None,749,150 Reflections Dr Apt 24,['Southern San Ramon'],San Ramon,Contra Costa,CA,94583
O2802005630,single_family,1986.0,False,2.0,3,,None,1030000,7150,2025,1107 Canyon Hills Rd,"['Dougherty Hills', 'Canyon Lakes South']",San Ramon,Contra Costa,CA,94582
O1024818726,single_family,1989.0,False,4.0,3,,3,1553888,5960,2758,3171 Marble Canyon Pl,['Dougherty Hills'],San Ramon,Contra Costa,CA,94582
O1876832781,single_family,2008.0,False,5.0,5,1.0,4,3210000,50290,5467,1087 Hawkshead Cir,['Norris Canyon Estates'],San Ramon,Contra Costa,CA,94583
O2251226555,condo,1984.0,False,,None,,None,880000,1989,2015,111 Deerwood Rd Ste 305,['Crow Canyon'],San Ramon,Contra Costa,CA,94583
