ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other,zip_code
2,22,0,53,2,4,16,1,90045
0,39,5,50,14,35,56,11,90046
0,9,1,14,6,6,31,3,90048
2,30,3,59,20,12,33,1,90049
0,21,3,38,3,2,3,0,90047
1,13,4,46,3,3,34,6,90044
5,4,1,16,2,9,59,4,92101
0,7,1,19,2,2,17,2,92102
0,3,0,3,3,4,6,1,92103
1,8,0,15,1,1,4,0,90056
0,6,2,28,5,5,24,0,92104
9,9,2,38,9,6,17,0,92106
16,4,0,23,5,8,24,0,92107
0,3,1,7,1,3,13,1,92108
23,19,0,28,8,9,21,2,92109
2,11,2,21,3,4,24,3,92110
2,4,0,8,1,2,12,1,94158
0,7,2,35,6,5,25,0,90064
0,22,0,29,8,10,6,5,90065
6,26,0,72,7,13,53,3,90066
1,3,1,7,2,0,5,1,90067
0,22,8,23,20,22,13,2,90068
3,22,0,53,3,7,39,3,92117
0,17,4,25,11,10,47,6,90069
0,21,1,28,7,14,9,0,92119
0,7,1,30,3,6,23,0,92116
0,34,0,56,2,17,9,2,92120
0,23,0,28,5,9,24,1,92122
0,12,1,34,2,6,15,0,92115
0,19,0,36,1,10,4,0,92124
0,17,1,21,5,2,2,2,90077
0,3,0,6,1,0,0,0,92121
1,50,5,119,20,21,24,10,92127
0,22,0,49,6,5,11,3,92128
0,25,0,48,4,5,7,1,92129
1,40,0,85,15,15,10,4,92130
0,11,1,16,3,4,4,1,92131
0,28,0,51,1,11,28,1,92126
0,8,0,8,1,2,1,0,92139
1,8,0,8,5,1,7,0,90094
2,25,0,36,5,8,12,2,92154
0,5,1,11,1,2,10,0,90037
