zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90831,Los Angeles,Long Beach,466776,7,Long Beach,107160,68372,90614,35895,0.08905,41443,76326,81692,47284,14966,2849,3168,2502,1950,2216,1079,1200,38207,8580.0,40.5,0.2125,0.1342,0.1079,0.05386,15850,541078
92865,Orange,Orange,139887,41,Orange,9863757,104103,116908,37668,0.129,45204,111648,120391,77500,6406,502,868,848,756,1493,1111,828,20664,5424.0,35.8,0.236,0.115,0.04398,0.042,6478,604700
92122,San Diego,San Diego,1409573,2,San Diego,41297838,79816,101188,43620,0.125,18000,95267,109580,69819,19957,3628,2982,2727,2692,3286,2147,2495,48071,3014.0,30.4,0.347,0.3918,0.053,0.052,21467,732600
95825,Sacramento,Sacramento,500930,6,Arden-Arcade; Sacramento,12212460,40515,56125,25499,0.021,22238,41979,48879,36551,16404,5251,4465,2485,1430,1746,686,341,37473,7948.0,32.1,0.228,0.106,0.27,0.10706,17233,298100
95826,Sacramento,Sacramento,500930,6,La Riviera; Rosemont; Sacramento,29579614,64241,78234,31524,0.04102,29831,66438,81277,56435,15214,2664,3352,2734,2188,2585,1061,630,39145,3428.0,33.5,0.24,0.09796,0.118,0.063,16196,305800
95827,Sacramento,Rancho Cordova,73147,120,La Riviera; Mather; Rancho Cordova; Rosemont,19972082,59115,74498,27612,0.03099,43375,57063,72500,52121,7292,1030,1930,1606,1006,998,493,229,20666,2680.0,35.2,0.167,0.06396,0.073,0.07697,7664,266900
90001,Los Angeles,Florence-Graham,65716,137,Florence-Graham; Huntington Park; Los Angeles,9071081,43360,54325,13727,0.007004,41207,44976,49008,31250,13669,3646,3951,2681,1516,1382,396,97,59832,17090.0,29.1,0.048,0.007996,0.2329,0.08704,14174,359000
95126,Santa Clara,San Jose,1027690,3,San Jose,8512339,99160,137171,58283,0.2091,76279,122457,105334,36114,15031,2114,1853,2181,1429,2570,1737,3147,36206,11016.0,34.3,0.288,0.236,0.057,0.038,15804,893900
90071,Los Angeles,Los Angeles,3966936,1,Los Angeles,319156,61875,76692,72511,0.101,41391,80862,82962,52628,119,5,32,30,40,1955,953,12,126,1022.5,41.3,0.2379,0.167,0.1265,0.06683,119,769723
90077,Los Angeles,Los Angeles,3966936,1,Los Angeles,18991437,209531,330006,126291,0.518,41391,250001,233839,160428,3173,139,172,146,276,406,391,1643,8382,1143.0,48.5,0.349,0.443,0.02802,0.04398,3791,2000001
95211,San Joaquin,Stockton,309228,13,Stockton,391984,54647,72213,1884,0.04507,42397,57012,62170,43902,10137,2214,2383,1887,1226,1375,564,486,1624,10730.0,19.6,0.5293,0.05115,0.157,0.15,10896,272084
90706,Los Angeles,Bellflower,77195,115,Bellflower,15823886,60011,76903,24628,0.039,39079,61241,68305,34074,23240,4423,5279,4425,3294,3681,1237,901,77195,12630.0,34.6,0.136,0.04898,0.09796,0.058,24874,458600
90710,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Carson,6096999,63907,84138,29075,0.06,27240,60821,80080,52757,9230,1692,1796,1717,1305,1346,817,557,28045,11910.0,37.8,0.187,0.08203,0.123,0.07,9651,500600
90712,Los Angeles,Lakewood,80292,107,Lakewood,11092562,96634,108424,37420,0.099,38333,106128,108631,62808,10338,812,1407,1362,1814,2607,1312,1024,31217,7290.0,39.3,0.235,0.09296,0.035,0.05,10743,572000
92132,San Diego,San Diego,1409573,2,San Diego,83674,91413,118823,43693,0.1499,46902,92266,106142,67119,14561,2111,2472,2329,1883,2624,1352,1787,38078,5136.0,35.66,0.2664,0.2023,0.07336,0.05734,15363,728818
90744,Los Angeles,Los Angeles,3966936,1,Los Angeles,21743450,50875,65582,18352,0.02802,39543,48018,62101,38700,14788,3040,4214,2781,1885,1840,612,416,56880,6776.0,30.6,0.065,0.02,0.1641,0.059,15405,397700
90745,Los Angeles,Carson,92079,83,Carson,21515116,80176,97137,27395,0.079,50136,88063,88653,55691,14936,1838,2398,2523,2340,3244,1418,1175,56930,6852.0,38.7,0.226,0.047,0.072,0.058,15439,445100
90746,Los Angeles,Carson,92079,83,Carson,15106968,89364,106260,34611,0.117,50136,114453,100938,68828,8205,978,989,1424,1161,1763,929,961,27075,4640.0,42.9,0.2009,0.1371,0.045,0.07104,8285,506600
90755,Los Angeles,Long Beach,466776,7,Long Beach; Signal Hill,5643682,75426,95685,40271,0.145,53272,80767,77837,59808,4743,816,691,849,505,988,204,690,11545,5300.0,37.9,0.313,0.151,0.12103,0.054,4931,507500
90802,Los Angeles,Long Beach,466776,7,Long Beach,16799415,54616,72678,39665,0.04398,40938,60014,57232,32131,20756,4823,4552,3915,2850,2528,1184,904,38962,6010.0,36.4,0.257,0.155,0.148,0.059,22834,404100
90803,Los Angeles,Long Beach,466776,7,Long Beach,10444951,90278,124551,66220,0.1489,36250,83338,113023,83266,16718,1942,2336,2539,2442,3188,1788,2483,32126,7970.0,45.4,0.324,0.229,0.03099,0.043,18134,897800
90804,Los Angeles,Long Beach,466776,7,Long Beach,5475897,52948,70607,28129,0.043,21202,57467,53719,31364,14955,3435,3507,2964,1817,1968,614,650,39239,18560.0,32.0,0.198,0.09,0.147,0.043,15695,517600
90805,Los Angeles,Long Beach,466776,7,Long Beach,19081708,50914,64669,19700,0.019,45644,52009,58999,35036,27354,6094,7297,4924,3654,3574,1289,522,95995,13030.0,31.2,0.10297,0.03099,0.1691,0.09,28378,405300
90806,Los Angeles,Long Beach,466776,7,Long Beach; Signal Hill,8914729,54437,68969,22148,0.03099,30898,56338,61648,29861,12788,2769,3195,2412,1759,1730,529,394,41990,12200.0,33.1,0.12396,0.05,0.165,0.04898,13309,466000
92676,Orange,Orange,139887,41,Lake Forest; Orange,171889627,104779,130139,52359,0.1959,45204,95255,127708,72292,827,61,120,94,115,200,75,162,2068,31.2,52.4,0.252,0.167,0.02802,0.03302,917,699500
91352,Los Angeles,Los Angeles,3966936,1,Los Angeles,30330373,57145,75344,21721,0.039,61364,55771,61899,50125,12436,2560,2824,2274,1539,2024,731,484,47076,4020.0,35.7,0.134,0.037,0.146,0.05603,13150,488600
91354,Los Angeles,Santa Clarita,213411,18,Santa Clarita,22598254,128308,151516,49503,0.2479,91268,142635,137108,66500,10444,599,823,952,1357,2390,1730,2593,32544,3730.0,37.6,0.331,0.1959,0.027,0.047,10569,601700
91355,Los Angeles,Santa Clarita,213411,18,Santa Clarita,40136581,95696,114928,44956,0.1279,26518,97045,116532,70015,11709,1334,1431,1864,1480,2636,1464,1500,30526,1970.0,40.3,0.313,0.156,0.04,0.05,12002,563400
90241,Los Angeles,Downey,112322,59,Downey,12753184,72715,87522,28169,0.065,63061,71368,81533,53125,13176,1525,3011,2286,2071,2538,891,854,43215,8776.0,36.0,0.1709,0.07,0.089,0.061,13912,582300
92562,Riverside,Murrieta,112941,58,Murrieta; Wildomar,283357968,92093,114669,36772,0.12,44444,98459,113246,52884,19614,2051,3023,2874,2698,3899,2710,2359,64286,587.5,37.3,0.205,0.104,0.053,0.076,20922,434700
94850,Contra Costa,Richmond,109884,62,Richmond,213582,77124,100043,36637,0.093,49466,78750,89582,58534,11391,1741,2194,1885,1711,1920,1005,932,33775,5316.0,38.2,0.2052,0.1345,0.09576,0.0535,12188,512366
95834,Sacramento,Sacramento,500930,6,Sacramento,25784173,64996,82671,30057,0.04102,63099,73080,62995,45167,10613,2074,2158,1776,1123,2245,806,431,30076,3022.0,32.2,0.2041,0.13,0.134,0.06604,10880,359900
95835,Sacramento,Sacramento,500930,6,Sacramento,23131552,102895,124221,43468,0.12396,106094,105712,112595,75037,13718,885,1805,1716,2161,3566,1889,1696,40170,4496.0,38.2,0.3079,0.1659,0.03198,0.035,14180,398000
